// wilderness agility course - white wolves
0_46_61_40_8,0_46_61_63_23
// scorpion valley
0_50_61_0_0,0_50_61_63_63
// rogues' fort
0_51_61_0_0,0_51_61_63_63
1_51_61_0_0,1_51_61_63_63
2_51_61_0_0,2_51_61_63_63
// evil altar
0_46_59_0_40,0_46_59_15_55
// north of lava maze
0_47_60_0_16,0_47_60_39_63
0_48_60_0_40,0_48_60_39_63
0_47_60_40_24,0_47_60_47_31
0_48_60_40_32,0_48_60_63_63
0_47_60_40_56,0_47_60_63_63
// dark warrior castle
0_47_56_0_16,0_47_56_63_63
1_47_56_0_16,1_47_56_63_63
2_47_56_0_16,2_47_56_63_63
// bandit camp
0_47_57_0_0,0_47_57_63_63
// east wilderness
0_49_55_0_0,0_51_55_63_63
0_49_56_56_0,0_51_60_63_63
0_49_58_16_40,0_49_60_55_63
0_49_60_0_0,0_49_60_15_63
// asgarnia chaos temple
0_45_54_48_56,0_45_54_63_63
// falador
0_46_51_0_40,0_46_53_63_63
1_46_51_0_40,1_46_53_63_63
2_46_51_0_40,2_46_53_63_63
3_46_51_0_40,3_46_53_63_63
0_47_51_0_40,0_47_51_7_63
// barbarian village
0_47_53_40_0,0_47_53_63_15
0_47_53_48_16,0_47_53_63_47
0_47_53_56_48
0_48_53_0_0,0_48_53_63_63
// draynor jail
0_48_50_32_32,0_48_50_63_55
0_48_50_40_56,0_48_50_63_63
// wizards' tower
0_48_49_24_8,0_48_49_55_39
1_48_49_24_8,1_48_49_55_39
2_48_49_24_8,2_48_49_55_39
// al kharid
0_51_49_0_0,0_51_49_63_63
1_51_49_0_0,1_51_49_63_63
// white wolf mountain
0_44_54_0_0,0_44_54_63_63
// ranging guild
0_41_53_24_24,0_41_53_63_47
0_41_53_32_16,0_41_53_55_23
0_41_53_32_48,0_41_53_55_55
2_41_53_24_24,2_41_53_63_47
2_41_53_32_16,2_41_53_55_23
2_41_53_32_48,2_41_53_55_55
// necromancer tower
0_41_50_32_32,0_41_50_55_55
1_41_50_32_32,1_41_50_55_55
0_41_50_40_16,0_41_50_55_31
// gnome battlefield
0_39_50_8_8,0_39_50_47_47
0_39_50_48_8,0_39_50_55_31
/// ----
// mage arena
0_39_73_0_0,0_39_73_63_63
/// ----
// kbd lair
0_42_153_16_8,0_42_153_47_39
// varrock sewer
0_49_154_16_0,0_51_154_31_63
// ice queen lair
0_44_155_32_8,0_44_155_63_47
// temple of ikov dungeon
0_41_154_0_0,0_41_154_47_63
// legends quest dungeon
0_43_145_0_32,0_43_145_15_63
0_43_145_16_32,0_43_145_23_55
0_43_145_24_32,0_43_145_31_47
0_43_145_40_16,0_43_145_47_31
0_43_145_48_8,0_43_145_63_31
