Year   Quest Name                                   Quest Prefix
2001   Cook's Assistant                             cook
       Demon Slayer                                 demon
       The Restless Ghost                           priest
       Sheep Shearer                                sheep
       Shield of Arrav                              blackarmgang
       Ernest the Chicken                           haunted
       Vampyre Slayer                               vampire
       Imp Catcher                                  imp
       Prince Ali Rescue                            prince
       Doric's Quest                                doric
       Witch's Potion                               hetty
       The Knight's Sword                           squire
       Goblin Diplomacy                             gobdip
       Pirate's Treasure                            hunt
       Dragon Slayer                                dragon
2002   Druidic Ritual                               druid
       Lost City                                    zanaris
       Witch's House                                ball
       Merlin's Crystal                             arthur
       Heroes' Quest                                hero
       Bar Crawl                                    barcrawl
       Scorpion Catcher                             scorpcatcher
       Family Crest                                 crest
       Tribal Totem                                 totem
       Fishing Contest                              fishingcompo
       Monk's Friend                                drunkmonk
       Temple of Ikov                               ikov
       Clock Tower                                  cog
       Holy Grail                                   grail
       Tree Gnome Village                           tree
       Fight Arena                                  arena
       Hazeel Cult                                  hazeelcult
       Sheep Herder                                 sheepherder
       Plague City                                  elena
       Sea Slug                                     seaslug
       Waterfall Quest                              waterfall
       Biohazard                                    biohazard
       Jungle Potion                                junglepotion
       The Grand Tree                               grandtree
2003   Shilo Village                                zombiequeen
       Underground Pass                             upass
       Observatory Quest                            itgronigen
       The Tourist Trap                             desertrescue
       Watch Tower                                  itwatchtower
       Dwarf Cannon                                 mcannon
       Murder Mystery                               murder
       The Dig Site                                 itexam
       Gertrude's Cat                               fluffs
       Legends' Quest                               legends
       Rune Mysteries                               runemysteries
2004   Big Chompy Bird Hunting                      chompybird
