Old School Bond,3g
Old School Bond (untradeable),3g
Cabbage,10kg
Cabbage,10kg
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Karamja gloves 1,8oz
Karamja gloves 2,8oz
Karamja gloves 3,8oz
Karamja gloves 4,8oz
Varrock Armour 1,1kg
Varrock Armour 2,1kg
Varrock Armour 3,1kg
Varrock Armour 4,1kg
Wilderness Sword 1,4lb
Wilderness Sword 2,4lb
Wilderness Sword 3,4lb
Wilderness Sword 4,4lb
Morytania legs 1,20lb
Morytania legs 2,20lb
Morytania legs 3,20lb
Morytania legs 4,20lb
Bonecrusher,25g
Falador Shield 1,12lb
Falador Shield 2,12lb
Falador Shield 3,12lb
Falador Shield 4,12lb
Ardougne Cloak 1,1lb
Ardougne Cloak 2,1lb
Ardougne Cloak 3,1lb
Ardougne Cloak 4,1lb
Explorer's ring 1,6g
Explorer's ring 2,6g
Explorer's ring 3,6g
Explorer's ring 4,6g
Fremennik sea boots 1,400g
Fremennik sea boots 2,400g
Fremennik sea boots 3,400g
Fremennik sea boots 4,400g
Desert amulet 1,10g
Desert amulet 2,10g
Desert amulet 3,10g
Desert amulet 4,10g
Kandarin headgear 1,10g
Kandarin headgear 2,10g
Kandarin headgear 3,10g
Kandarin headgear 4,10g
Western Banner 1,5lb
Western Banner 2,5lb
Western Banner 3,5lb
Western Banner 4,5lb
Rada's Blessing 1,1lb
Rada's Blessing 2,1lb
Rada's Blessing 3,1lb
Rada's Blessing 4,1lb
Abyssal bludgeon,6kg
Abyssal dagger,1lb
Abyssal dagger (p),1lb
Abyssal dagger (p+),1lb
Abyssal dagger (p++),1lb
Unsired,1400g
Bludgeon spine,2500g
Bludgeon claw,2500g
Bludgeon axon,2500g
Jar of Miasma,40g
Overseer's book,18oz
Camulet,7g
Potato cactus,500g
Jar of Sand,20g
Al Kharid Flyer,1g
Frog-leather body,5kg
Frog-leather chaps,3kg
Frog-leather boots,1kg
Green gloop soup,1g
Frogspawn gumbo,1g
Frogburger,1g
Coated frogs' legs,1g
Bat shish,1g
Fingers,1g
Grubs ą la mode,1g
Roast frog,1g
Mushrooms,1g
Fillets,1g
Loach,1g
Eel sushi,1g
Dorgesh-Kaan Sphere,1g
Light orb,1g
Spanner,1kg
Long bone,1kg
Curved bone,1kg
Swamp weed,200g
Empty light orb,1g
Cave goblin wire,1kg
Cog,3kg
Cog,3kg
Fuse,1kg
Fuse,1kg
Meter,1kg
Meter,1kg
Capacitor,1kg
Capacitor,1kg
Lever,3kg
Lever,3kg
Powerbox,3kg
Powerbox,3kg
Perfect shell,15lb
Perfect snail shell,7kg
Numulite,2g
Unidentified small fossil,5oz
Unidentified medium fossil,10oz
Unidentified large fossil,20oz
Unidentified rare fossil,10oz
Small fossilised limbs,2lb
Small fossilised spine,2lb
Small fossilised ribs,2lb
Small fossilised pelvis,2lb
Small fossilised skull,2lb
Medium fossilised limbs,2lb
Medium fossilised spine,2lb
Medium fossilised ribs,2lb
Medium fossilised pelvis,2lb
Medium fossilised skull,2lb
Fossilised roots,2lb
Fossilised stump,2lb
Fossilised branch,2lb
Fossilised leaf,2lb
Fossilised mushroom,2lb
Large fossilised limbs,2lb
Large fossilised spine,2lb
Large fossilised ribs,2lb
Large fossilised pelvis,2lb
Large fossilised skull,2lb
rare fossilised limbs,2lb
rare fossilised spine,2lb
rare fossilised ribs,2lb
rare fossilised pelvis,2lb
Rare fossilised skull,2lb
Rare fossilised tusk,2lb
Volcanic ash,2oz
Hoop snake,1lb
Sulliuscep Cap,2lb
Archaeologist's diary,18oz
Ancient diary,18oz
Calcite,2oz
Pyrophosphite,2oz
Small enriched bone,300g
Medium enriched bone,300g
Large enriched bone,300g
Rare enriched bone,300g
Fossil Island Note book,10g
Scribbled note,10g
Partial note,10g
Ancient note,10g
Ancient writings,10g
Experimental note,10g
Paragraph of text,10g
Musty smelling note,10g
Hastily scrawled note,10g
Old writing,10g
Short note,10g
Ancient Wyvern shield,10lb
Ancient Wyvern shield,10lb
Wyvern visage,2lb
Antique lamp,100g
Antique lamp,100g
Antique lamp,100g
Granite boots,6lb
Granite longsword,6lb
Merfolk Trident,2lb
Bowl of Fish,5lb
Drift Net,1kg
Pufferfish,-500g
Mermaid's tear,1g
Glistening tear,0 (none defined)
Tortoise shell,15lb
Giant frog legs,1lb
Oil lamp,1lb
Oil lamp,1lb
Empty oil lamp,1lb
Empty candle lantern,2lb
Candle lantern,2lb
Candle lantern,2lb
Candle lantern,2lb
Candle lantern,2lb
Empty oil lantern,2lb
Oil lantern,2lb
Oil lantern,2lb
Oil lantern frame,1lb
Bullseye lantern (unf),3lb
Bullseye lantern (empty),3lb
Sapphire lantern,3lb
Emerald lantern,3lb
Bullseye lantern,3lb
Sapphire lantern,3lb
Emerald Lantern,3lb
Bullseye lantern,3lb
Sapphire lantern,3lb
Emerald Lantern,3lb
Lantern lens,1oz
Emerald lens,1oz
Spiny helmet,5lb
Godsword shard 1,2500g
Godsword shard 2,2500g
Godsword shard 3,2500g
Godsword shards 1 & 2,5kg
Godsword shards 1 & 3,5kg
Godsword shards 2 & 3,5kg
Godsword blade,7500g
Armadyl Godsword,10kg
Armadyl Godsword (or),10kg
Bandos Godsword,10kg
Bandos Godsword (or),10kg
Saradomin Godsword,10kg
Saradomin Godsword (or),10kg
Zamorak Godsword,10kg
Zamorak Godsword (or),10kg
Armadyl hilt,2500g
Bandos Hilt,2500g
Saradomin Hilt,2500g
Zamorak Hilt,2500g
Zamorakian spear,3kg
Zamorakian hasta,3kg
Armadyl helmet,500g
Armadyl chestplate,4kg
Armadyl chainskirt,1kg
Bandos chestplate,12kg
Bandos tassets,8kg
Bandos boots,6kg
Saradomin sword,3kg
Sara's blessed sword (full),3kg
Saradomin's blessed sword,3kg
Dragon boots,1kg
Explorer's notes,18oz
Knight's notes,3oz
Knight's notes,3oz
Saradomin's light,250g
HAM Shirt,2lb
HAM Robe,2lb
HAM Hood,1lb
HAM Cloak,1lb
HAM Logo,10g
HAM Gloves,1lb
HAM Boots,12oz
Bottomless compost bucket,1kg
Bottomless compost bucket,3kg
Bottled Dragonbreath (unpowered),80g
Bottled Dragonbreath,80g
Tatty Note,3g
Gielinor's Flora - Flowers,18oz
Gielinor's Flora - Bushes,18oz
Gielinor's Flora - Hops,18oz
Gielinor's Flora - Allotments,18oz
Gielinor's Flora - Herbs,18oz
Gielinor's Flora - Trees,18oz
Gielinor's Flora - Fruit,18oz
Seed pack,200g
Stone tablet,800g
Boots of Brimstone,7lb
Devout boots,500g
Drake's claw,1g
Drake's tooth,10g
Broken Dragon Hasta,10g
Hydra's claw,1g
Hydra's heart,1g
Hydra's fang,1g
Hydra's eye,1g
Brimstone Ring,4g
Dragon hunter lance,3kg
Ferocious gloves,8oz
Hydra Leather,8oz
Bonecrusher Necklace,25g
Hydra Tail,8oz
Jar of Chemicals,40g
Brimstone Key,10g
Old notes,1oz
Old notes,1oz
Old notes,1oz
Old notes,1oz
Old notes,1oz
Old notes,1oz
Old notes,1oz
Minecart Ticket,1g
Minecart Ticket,1g
Minecart Ticket,1g
Minecart Ticket,1g
Woven Top,70g
Woven Top,70g
Woven Top,70g
Shirt,70g
Shirt,70g
Shirt,70g
Trousers,1kg
Trousers,1kg
Trousers,1kg
Shorts,100g
Shorts,100g
Shorts,100g
Skirt,80g
Skirt,80g
Skirt,80g
Dense essence block,1oz
Dark essence block,1oz
Ensouled goblin head,1lb
Ensouled goblin head,1lb
Ensouled monkey head,1lb
Ensouled monkey head,1lb
Ensouled imp head,1lb
Ensouled imp head,1lb
Ensouled minotaur head,1lb
Ensouled minotaur head,1lb
Ensouled scorpion head,1lb
Ensouled scorpion head,1lb
Ensouled bear head,1lb
Ensouled bear head,1lb
Ensouled unicorn head,1lb
Ensouled unicorn head,1lb
Ensouled dog head,1lb
Ensouled dog head,1lb
Ensouled chaos druid head,1lb
Ensouled chaos druid head,1lb
Ensouled giant head,1lb
Ensouled giant head,1lb
Ensouled ogre head,1lb
Ensouled ogre head,1lb
Ensouled elf head,1lb
Ensouled elf head,1lb
Ensouled troll head,1lb
Ensouled troll head,1lb
Ensouled horror head,1lb
Ensouled horror head,1lb
Ensouled kalphite head,1lb
Ensouled kalphite head,1lb
Ensouled dagannoth head,1lb
Ensouled dagannoth head,1lb
Ensouled bloodveld head,1lb
Ensouled bloodveld head,1lb
Ensouled TzHaar head,1lb
Ensouled TzHaar head,1lb
Ensouled demon head,1lb
Ensouled demon head,1lb
Ensouled aviansie head,1lb
Ensouled aviansie head,1lb
Ensouled abyssal head,1lb
Ensouled abyssal head,1lb
